Libellé,Densité de population 2020,Potentiel financier 2023,Médiane du revenu disponible par UC 2020,Part des ménages disposant d'au moins une voiture 2020,Part des ménages dont la famille principale est une famille monoparentale 2020,"Part des personnes de 75 ans et plus vivant seules 2020
Pomas,90.64,549112,20810,92.6,6.7,22.7,26.6,28.3,95,4.77,3,15,5.4,15.0,10.9,3.84,2
Pomy,9.33,29525,17268,110.0,25.0,0.0,39.0,26.8,100,10.76,7,30,0.0,36.4,12.5,0.0,4
Portel-des-Corbières,37.66,1115145,20360,95.4,14.6,54.7,27.2,22.5,76,6.723333333,3,15,6.6,10.5,10.7,3.18,2
Pouzols-Minervois,56.75,385549,19940,93.9,3.6,27.7,25.7,26.4,136,6.328333333,3,15,8.6,10.0,20.1,0.0,2
Pradelles-Cabardès,7.18,324458,18060,91.1,5.6,100.0,30.6,20.9,324,17.43,3,30,15.0,3.3,13.8,0.0,1
Preixan,73.01,378622,20790,90.3,5.2,25.0,27.2,25.3,96,5.716666667,3,15,6.1,13.2,12.9,1.75,2
Puginier,22.86,105335,22030,96.9,7.7,50.0,25.4,25.4,106,10.89166667,7,15,0.0,29.0,13.5,0.0,2
Puichéric,89.78,829581,17570,86.7,11.6,44.4,20.7,34.7,105,5.493333333,3,15,3.4,20.1,20.1,8.24,0
Puilaurens,7.88,204967,18000,94.1,7.3,52.4,19.7,33.3,215,5.613333333,3,30,9.4,18.3,19.5,2.84,1
Puivert,10.56,451199,18580,94.9,10.9,42.3,24.3,35.8,275,8.785,3,15,6.5,5.0,17.8,0.0,2
Quillan,90.7,3441984,18280,79.9,9.5,42.0,19.1,34.4,243,7.475,3,3,2.6,8.4,18.9,14.92,0
Quintillan,2.92,63718,17251,71.4,14.3,0.0,19.5,43.9,283,14.31833333,3,45,7.7,27.7,30.4,0.0,4
Quirbajou,3.66,51177,17217,96.0,40.0,55.6,63.9,16.7,60,9.981666667,3,30,0.0,0.0,23.8,0.0,1
Raissac-d'Aude,43.51,222869,19050,94.5,13.0,25.0,28.9,26.5,171,2.496666667,7,15,2.3,4.5,25.8,0.0,2
Raissac-sur-Lampy,88.34,326015,21480,95.3,2.9,0.0,33.9,22.4,48,4.781666667,3,15,9.0,13.4,13.0,3.39,2
Rennes-le-Château,6.2,68757,17875,102.5,12.5,0.0,33.8,16.2,113,5.195,7,7,0.0,0.0,16.7,0.0,2
Rennes-les-Bains,10.5,335410,13290,78.6,8.3,63.9,25.6,29.4,418,8.123333333,3,15,0.0,2.2,34.1,0.0,1
Ribaute,28.37,207376,18270,96.7,8.3,33.3,22.5,40.3,253,4.32,3,30,3.9,3.9,12.2,2.46,4
Ribouisse,10.68,67969,18162,86.0,10.0,0.0,22.0,35.4,120,13.36833333,3,15,5.9,29.4,12.5,0.0,2
Ricaud,52.36,208902,23150,96.1,10.4,22.2,25.3,19.5,111,4.783333333,7,15,5.4,5.8,5.7,0.0,2
Rieux-en-Val,12.32,71505,17892,92.5,25.0,100.0,30.6,29.2,258,1.875,3,30,7.1,14.3,18.8,0.0,1
Rieux-Minervois,91.41,1616555,19370,86.9,11.2,34.6,17.4,42.2,195,3.235,3,3,1.8,11.0,19.0,3.64,2
Rivel,8.72,146800,17300,82.9,8.8,60.0,29.9,28.8,317,3.94,7,7,2.6,8.4,26.5,0.0,2
Rodome,9.09,124555,15600,90.9,0.0,100.0,32.2,23.3,211,8.415,3,30,5.3,5.3,20.5,0.0,1
Roquecourbe-Minervois,36.19,101203,20390,98.5,7.7,0.0,18.6,31.4,93,3.278333333,3,15,0.0,8.3,16.9,0.0,2
Roquefère,9.55,233204,17639,88.9,0.0,31.2,31.9,30.6,483,16.06166667,3,30,6.2,6.2,16.1,6.52,4
Roquefeuil,13.0,228316,18390,92.9,3.6,77.3,26.2,28.2,265,3.358333333,3,30,12.4,6.8,3.6,0.0,1
Roquefort-de-Sault,3.8,246919,15840,85.5,0.0,33.3,15.4,28.2,620,13.17666667,3,30,0.0,6.7,27.3,0.0,4
Roquefort-des-Corbières,22.12,1003536,20680,92.9,11.6,37.9,26.8,24.0,149,5.421666667,3,7,4.1,8.5,16.4,0.0,2
Roquetaillade-et-Conilhac,17.28,450093,21040,92.5,11.9,78.3,31.5,23.9,151,11.24,7,15,2.4,10.2,6.1,0.0,1
Roubia,68.16,301860,20840,91.0,10.6,19.0,23.6,27.1,122,3.891666667,7,15,2.3,7.9,19.5,0.0,2
Rouffiac-d'Aude,86.45,262330,18850,84.4,7.3,24.0,32.5,21.0,107,3.286666667,3,15,2.3,9.8,15.6,20.66,0
Rouffiac-des-Corbières,4.74,108719,17589,70.9,0.0,20.8,25.4,32.4,560,15.87666667,3,30,6.2,17.3,35.5,0.0,4
Roullens,64.39,339816,21970,95.4,15.5,100.0,37.2,18.3,87,5.67,3,15,5.3,8.1,10.2,7.46,1
Routier,21.12,179441,18840,92.2,4.3,0.0,27.6,26.6,146,7.423333333,3,15,7.5,15.0,9.4,0.0,2
Rustiques,78.67,270290,21770,97.6,9.0,58.3,27.7,20.4,101,3.436666667,3,3,6.2,6.2,11.2,0.0,2
Saint-Amans,7.35,41027,17420,94.3,0.0,0.0,20.8,26.4,350,13.49666667,15,30,8.9,8.9,20.0,0.0,3
Saint-André-de-Roquelongue,44.69,957349,20750,91.0,10.8,33.5,24.7,31.3,103,7.383333333,3,15,4.5,13.2,14.1,0.0,2
Saint-Benoît,5.02,90891,18196,86.0,10.0,0.0,36.5,16.5,95,9.248333333,3,15,4.7,18.9,19.2,0.0,2
Sainte-Camelle,12.39,72437,22810,100.0,0.0,20.0,29.4,35.3,80,3.846666667,7,30,0.0,15.2,10.5,0.0,2
Sainte-Colombe-sur-Guette,2.14,134263,17066,83.3,16.7,100.0,12.5,37.5,450,8.926666667,7,30,0.0,9.3,20.0,0.0,1
Sainte-Colombe-sur-l'Hers,41.28,302337,17980,90.9,8.5,26.4,22.0,36.7,203,5.22,3,15,1.4,18.4,20.2,4.33,2
Saint-Couat-d'Aude,70.82,236667,20540,92.6,10.7,24.2,21.8,28.4,159,3.595,3,7,6.0,17.0,17.1,0.0,2
Saint-Couat-du-Razès,6.25,28859,17015,120.0,33.3,0.0,43.3,16.7,33,15.345,3,15,18.5,0.0,28.0,0.0,4
Saint-Denis,60.9,272305,20170,94.3,14.0,30.6,22.8,26.8,138,3.82,3,7,2.3,7.9,20.2,1.61,2
Sainte-Eulalie,79.69,330257,21960,94.2,4.8,0.0,30.0,25.5,94,2.848333333,3,7,11.1,18.4,9.6,0.0,2
Saint-Ferriol,11.17,85966,20290,93.8,15.4,33.3,18.2,30.3,318,7.413333333,7,15,0.0,9.8,31.5,0.0,2
Saint-Frichoux,37.28,148958,18450,91.4,14.3,50.0,20.3,34.6,100,5.646666667,7,7,2.5,12.5,11.4,0.0,2
Saint-Gaudéric,10.42,64722,18280,97.8,0.0,0.0,43.2,15.9,104,11.01833333,7,15,4.7,25.2,9.3,0.0,2
Saint-Hilaire,30.97,569671,20930,90.6,13.6,26.3,26.1,26.8,141,5.62,3,15,4.1,8.1,13.6,4.26,2
Saint-Jean-de-Barrou,34.56,205414,20050,95.6,0.0,9.1,25.5,32.5,334,7.086666667,3,30,10.2,4.1,18.5,0.0,4
Saint-Jean-de-Paracol,18.5,76170,15210,100.0,9.1,0.0,35.4,22.9,67,9.603333333,3,15,0.0,9.9,17.5,0.0,4
Saint-Julia-de-Bec,7.49,70708,17750,103.6,0.0,0.0,42.1,21.1,511,10.43666667,15,15,5.9,11.8,25.0,0.0,3
Saint-Julien-de-Briola,7.52,65006,17791,102.5,12.5,31.2,57.4,14.7,164,10.99,15,15,25.0,17.2,8.8,0.0,3
Saint-Just-et-le-Bézu,3.77,38029,17251,77.1,14.3,0.0,41.3,15.2,220,10.96833333,15,15,22.2,0.0,19.4,0.0,3
Saint-Laurent-de-la-Cabrerisse,29.36,736136,18930,91.3,4.0,33.8,28.3,23.8,142,7.345,3,30,3.1,7.4,15.6,0.0,4
Saint-Louis-et-Parahou,3.27,47835,17251,86.7,0.0,100.0,26.7,17.8,175,8.613333333,15,30,11.4,11.4,26.9,0.0,3
Saint-Marcel-sur-Aude,242.29,1479376,20670,90.8,10.1,40.5,25.8,25.5,84,2.621666667,3,3,5.8,16.9,13.9,4.3,2
Saint-Martin-des-Puits,4.03,42925,16863,113.3,0.0,0.0,34.6,23.1,650,10.96666667,7,30,0.0,0.0,12.5,0.0,4
Saint-Martin-de-Villereglan,39.45,290397,23370,98.6,9.9,0.0,26.4,23.6,87,5.683333333,3,15,7.0,1.7,12.9,0.0,2
Saint-Martin-Lalande,88.3,1033714,22630,96.4,7.5,22.6,28.6,21.7,89,4.106666667,7,15,4.4,12.2,8.8,0.0,2
Saint-Martin-le-Vieil,16.0,194658,23450,93.6,0.0,75.0,37.1,21.9,222,7.791666667,3,15,8.3,2.8,12.1,0.0,1
Saint-Martin-Lys,2.4,64992,16762,86.7,0.0,0.0,13.6,40.9,0,3.828333333,3,15,0.0,0.0,38.5,0.0,4
Saint-Michel-de-Lanès,36.91,252585,23300,94.3,11.9,50.0,41.7,17.4,67,4.83,7,15,14.8,12.3,9.3,0.0,2
Saint-Nazaire-d'Aude,240.56,1458826,21230,92.7,6.6,33.6,25.3,23.6,77,3.383333333,3,7,5.2,12.1,14.9,1.18,2
Saint-Papoul,32.7,684644,20430,95.9,7.8,34.0,28.1,23.5,97,5.551666667,3,15,2.0,19.7,11.4,4.8,2
Saint-Paulet,27.49,145834,19550,98.8,11.8,25.0,37.7,18.8,70,9.068333333,3,15,9.0,18.0,7.1,0.0,2
Saint-Pierre-des-Champs,11.45,179651,18980,84.4,11.1,60.0,35.6,23.5,169,5.388333333,3,30,9.6,6.4,15.2,0.0,1
Saint-Polycarpe,10.21,112038,17410,98.6,7.1,26.3,25.6,38.8,209,8.23,3,15,0.0,11.7,16.9,0.0,2
Saint-Sernin,6.28,25790,17099,106.7,33.3,0.0,30.3,27.3,162,8.321666667,15,15,0.0,20.0,6.2,0.0,3
Sainte-Valière,83.88,349426,20610,92.5,4.1,0.0,22.5,24.9,118,3.486666667,3,15,10.2,11.3,14.3,5.24,2
Saissac,16.11,622804,18450,93.1,12.3,35.7,25.3,30.1,151,7.615,3,15,5.2,13.7,15.7,17.36,0
Sallèles-Cabardès,17.74,86658,19980,87.3,0.0,100.0,27.8,22.7,182,5.136666667,3,30,4.7,18.9,12.2,0.0,1
Sallèles-d'Aude,242.15,2680009,21290,92.1,11.4,32.2,24.6,26.1,88,3.1,3,7,4.7,17.5,16.5,6.18,2
Salles-d'Aude,179.12,2161333,21960,93.2,5.7,36.8,26.7,21.1,135,3.945,3,7,6.1,9.4,13.7,3.76,2
Salles-sur-l'Hers,37.03,628248,21370,93.1,6.2,46.3,23.4,28.8,92,12.445,3,30,4.4,9.1,14.2,6.1,4
Salsigne,32.93,207254,17710,84.6,5.3,56.5,14.5,38.4,128,8.86,3,15,3.0,15.1,13.8,18.68,0
Salvezines,3.43,116771,17538,87.5,25.0,0.0,14.3,35.7,192,9.535,7,30,0.0,9.1,30.4,0.0,4
Salza,2.4,26411,16762,70.0,0.0,0.0,47.4,10.5,650,30.38833333,7,45,0.0,12.5,41.7,0.0,4
Seignalens,4.7,30619,16846,80.0,0.0,0.0,34.6,26.9,350,13.32,7,15,0.0,0.0,21.1,0.0,4
La Serpent,9.91,64588,18010,97.8,0.0,100.0,41.6,18.2,213,8.71,7,15,0.0,12.5,18.4,0.0,1
Serres,19.95,49781,17740,93.3,11.1,66.7,32.3,18.5,129,3.951666667,3,7,0.0,0.0,15.4,0.0,2
Serviès-en-Val,30.46,180118,20830,88.0,4.5,42.3,18.2,33.5,357,7.038333333,3,30,7.7,17.9,7.0,0.0,2
Sigean,156.78,4737140,20340,88.5,8.4,33.9,20.3,32.0,131,6.726666667,3,3,4.4,12.9,19.2,5.55,2
Sonnac-sur-l'Hers,9.68,87943,20630,90.0,7.1,100.0,16.1,32.1,232,4.295,7,7,0.0,4.1,5.3,0.0,1
Sougraigne,6.73,83597,18533,93.8,7.7,0.0,47.5,19.2,111,5.015,7,15,19.7,0.0,28.6,6.06,2
Souilhanels,131.99,217938,24860,99.2,9.5,14.3,29.1,31.7,84,9.226666667,7,7,6.9,16.4,10.3,0.0,2
Souilhe,79.29,189685,22540,103.9,4.1,54.5,21.8,21.4,63,8.135,3,15,10.8,19.6,6.7,0.0,2
Soulatgé,5.3,119847,11780,84.3,21.4,100.0,37.4,22.2,92,14.52,3,30,4.1,12.4,11.5,0.0,1
Soupex,31.75,139695,22900,97.6,4.6,0.0,27.1,31.9,146,6.583333333,3,15,8.4,15.4,5.7,0.0,2
Talairan,12.87,294943,18230,89.7,10.6,22.9,24.8,35.8,273,6.65,3,30,4.0,2.3,11.9,4.19,4
Taurize,13.19,66880,18179,90.0,0.0,0.0,36.8,20.0,188,2.723333333,3,30,4.8,4.8,22.6,0.0,4
Termes,2.52,57590,17167,96.7,0.0,100.0,47.7,18.2,800,21.14333333,3,45,25.0,0.0,16.0,0.0,1
Terroles,2.26,12314,16610,180.0,0.0,100.0,28.6,42.9,600,12.58666667,15,15,0.0,0.0,16.7,0.0,3
Thézan-des-Corbières,21.0,381002,18940,92.3,3.8,33.3,21.8,37.6,170,7.356666667,3,15,2.1,15.0,21.2,0.0,2
La Tourette-Cabardès,4.77,16440,16779,86.7,0.0,0.0,36.4,18.2,500,9.44,7,15,0.0,0.0,33.3,14.29,0
Tournissan,23.24,179636,18780,95.7,0.0,23.8,21.4,29.5,180,4.18,3,30,4.4,12.1,22.0,2.94,4
Tourouzelle,34.46,405962,19510,89.1,8.3,68.6,20.0,29.1,171,3.626666667,3,7,1.1,15.7,18.1,0.0,2
Tourreilles,20.67,92212,20660,96.7,8.3,0.0,27.6,29.5,170,14.535,7,15,0.0,22.9,14.5,0.0,2
Trassanel,6.45,19284,16813,86.7,0.0,0.0,13.0,17.4,140,7.093333333,7,30,0.0,0.0,27.3,0.0,4
Trausse,55.89,417436,19010,87.7,9.3,42.6,19.4,30.9,140,3.261666667,3,7,3.8,10.6,20.2,4.38,2
Trèbes,332.4,5951078,18930,83.4,12.7,43.7,18.8,34.2,127,7.186666667,3,3,4.2,8.3,19.2,16.89,0
Treilles,20.53,679594,20000,95.9,8.3,23.8,27.4,22.3,115,3.765,3,30,4.5,11.7,18.6,19.05,0
Tréville,19.89,65681,22290,97.8,11.1,0.0,20.5,25.3,95,12.90833333,3,15,5.0,10.0,16.4,0.0,2
Tréziers,16.38,62510,18095,94.5,18.2,0.0,31.8,23.9,233,11.90666667,7,15,11.1,5.6,20.9,0.0,4
Tuchan,13.27,792524,18610,85.7,10.9,43.5,18.3,33.5,235,3.866666667,3,30,3.6,8.4,22.0,7.8,4
Valmigère,4.04,14085,16779,86.7,0.0,0.0,21.7,43.5,900,15.30833333,7,30,0.0,19.2,25.0,0.0,4
Ventenac-Cabardès,92.18,585500,22000,95.6,11.0,25.0,32.7,21.6,88,3.86,3,15,8.1,7.5,10.3,11.65,0
Ventenac-en-Minervois,92.74,466025,21420,95.4,1.9,25.7,28.1,22.7,170,2.54,3,15,5.2,8.3,9.3,2.21,2
Véraza,2.18,32253,16931,120.0,0.0,0.0,22.6,19.4,0,9.213333333,15,15,0.0,0.0,14.3,0.0,3
Verdun-en-Lauragais,14.15,245793,22080,98.4,17.3,24.4,36.4,24.5,82,6.173333333,3,30,10.6,10.6,14.3,0.0,2
Verzeille,93.86,273924,21460,96.9,7.6,30.0,31.9,20.0,91,3.73,3,15,7.4,9.6,12.6,0.0,2
Vignevieille,6.28,86454,18179,88.0,0.0,25.0,24.4,23.3,158,18.39833333,3,45,5.0,20.0,9.8,0.0,4
Villalier,125.97,541355,20300,93.7,5.0,38.8,17.0,32.2,123,2.795,3,15,4.8,15.7,12.6,0.75,2
Villanière,19.46,173713,19600,94.3,14.3,32.1,20.4,23.3,127,9.153333333,3,15,4.5,12.5,19.6,0.0,2
Villardebelle,4.26,58948,17319,108.0,20.0,0.0,18.8,25.0,225,17.53,3,30,0.0,0.0,16.0,0.0,4
Villardonnel,30.07,252687,19640,94.9,9.3,39.2,32.5,22.3,152,6.701666667,7,7,6.0,3.6,13.9,0.0,2
Villar-en-Val,2.1,31248,16796,65.0,0.0,100.0,38.1,33.3,333,6.255,7,30,0.0,14.7,0.0,0.0,1
Villar-Saint-Anselme,21.26,72919,22270,92.7,9.1,23.8,21.3,30.9,93,6.371666667,3,15,4.4,8.8,12.3,0.0,2
Villarzel-Cabardès,40.28,161632,21190,83.5,4.6,0.0,29.4,28.9,67,2.346666667,3,15,8.8,6.7,11.6,0.0,2
Villarzel-du-Razès,7.78,77578,17993,88.0,0.0,0.0,42.2,21.7,193,9.886666667,3,15,11.1,0.0,11.6,0.0,2
Villasavary,36.64,836790,20630,91.3,5.8,50.0,29.7,25.9,80,7.116666667,3,15,7.1,13.1,11.1,7.38,2
Villautou,10.72,39427,17454,92.0,40.0,100.0,25.0,11.4,44,10.79333333,15,15,10.9,10.9,16.1,0.0,3
Villebazy,11.41,103102,20490,88.3,0.0,100.0,24.3,20.0,116,4.468333333,3,15,0.0,0.0,15.9,0.0,1
Villedaigne,222.49,319738,17030,93.2,13.0,27.9,17.8,33.9,137,3.408333333,7,15,1.3,15.3,17.7,14.84,0
Villedubert,113.49,294346,22520,99.9,10.0,16.7,28.8,24.3,157,4.825,3,7,10.6,3.5,7.5,1.29,2
Villefloure,9.35,98789,16900,94.3,14.3,0.0,37.7,22.8,50,7.66,15,30,8.6,8.6,12.2,0.0,3
Villefort,6.71,64051,17808,105.7,14.3,0.0,19.7,13.6,70,4.328333333,7,7,0.0,8.3,9.3,0.0,2
Villegailhenc,346.86,1107730,20580,92.6,11.8,29.5,24.7,24.4,93,2.883333333,3,15,4.9,11.3,11.8,5.83,2
Villegly,121.67,703015,20790,90.4,3.0,50.3,20.8,22.5,93,4.115,3,15,5.3,7.8,12.5,8.71,0
Villelongue-d'Aude,22.81,200130,18350,96.2,10.4,20.0,29.4,26.1,167,10.41666667,3,15,7.7,5.8,17.9,0.0,2
Villemagne,23.11,176541,19620,95.7,8.7,33.3,23.0,24.5,117,7.95,3,30,4.8,11.9,15.3,0.0,4
Villemoustaussou,376.97,3499754,23260,95.9,11.8,29.7,31.7,22.1,88,3.231666667,3,7,8.5,9.7,11.7,6.45,2
Villeneuve-la-Comptal,91.39,915743,22330,98.9,7.5,22.7,28.6,23.5,79,6.678333333,3,7,11.7,13.1,10.5,4.86,2
Villeneuve-les-Corbières,10.32,181579,15550,88.7,8.7,25.0,13.4,35.6,128,4.586666667,3,30,0.0,16.3,9.0,0.0,4
Villeneuve-lès-Montréal,152.27,181637,22600,100.2,8.7,27.0,28.4,20.5,42,4.575,3,15,11.1,0.0,10.3,0.81,2
Villeneuve-Minervois,40.04,759958,19080,85.9,10.9,53.3,24.0,25.8,154,5.735,3,15,4.7,12.4,12.1,17.29,0
Villepinte,81.82,836281,20070,89.0,5.1,26.9,21.1,26.0,82,4.47,3,15,3.3,13.1,19.4,5.02,2
Villerouge-Termenès,8.09,97807,15450,83.7,0.0,33.3,29.1,25.4,205,14.24333333,3,30,3.2,13.5,28.8,8.33,4
Villesèque-des-Corbières,11.68,1179501,16930,89.3,13.9,33.3,16.8,30.5,96,5.148333333,7,30,5.1,6.8,19.5,0.0,4
Villesèquelande,168.04,471039,21960,96.3,7.8,18.5,28.0,20.7,64,3.943333333,3,7,4.4,17.2,9.6,4.18,2
Villesiscle,69.78,219063,21110,95.1,9.9,36.4,28.7,20.8,81,6.978333333,3,3,0.0,16.7,6.6,0.0,2
Villespy,63.95,228511,20450,93.5,10.8,37.5,27.7,20.2,72,5.735,7,15,13.2,8.7,17.4,0.0,2
Villetritouls,6.97,27430,16931,105.0,0.0,0.0,29.4,23.5,0,4.253333333,3,30,0.0,0.0,9.1,0.0,4
Vinassan,297.1,1707181,23020,95.0,9.3,26.9,29.7,22.4,105,4.225,3,7,4.1,8.6,10.4,1.76,2
